panel_column,method,frame,repeat,accepted,selected_joint,state_q,position_error,orientation_error,velocity_margin_rad,candidate_id,failure_kind,raw_return_velocity_margin_rad
original,full_cghik,0,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",1.5136034114571372e-05,0.0001322111914963572,0.0436,,,
original,full_cghik,1,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",6.0538057317235175e-05,0.0005287923355430726,0.0436,,,
original,full_cghik,2,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.0001361878288290126,0.0011895861412093726,0.0436,,,
original,full_cghik,3,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.00024205493621203214,0.0021143304583446164,0.0436,,,
original,full_cghik,4,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.0003780967788192043,0.003302658279993997,0.0436,,,
original,full_cghik,5,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.0005442585449405317,0.004754097746401534,0.0436,,,
original,full_cghik,6,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.0007404731829598446,0.0064680721512090835,0.0436,,,
original,full_cghik,7,0,True,1,"[-2.5049632783701505, -0.241956484604905, -1.1367095106305023, -0.6405260838098745, 1.8483792282351552, 0.45845798166166185, -0.9129513575139697]",0.000966661366923974,0.008443899950658303,0.0436,,,
original,full_cghik,8,0,True,1,"[-2.5039740373811044, -0.2392265455222773, -1.1400497273794603, -0.6365046560751221, 1.8462537129465078, 0.45438314101444993, -0.9086900624058354]",2.4618733365169734e-06,1.0901563822192462e-05,0.03957857226524755,,,
original,full_cghik,9,0,True,1,"[-2.5039740373811044, -0.2392265455222773, -1.1400497273794603, -0.6365046560751221, 1.8462537129465078, 0.45438314101444993, -0.9086900624058354]",0.0002836244397001922,0.002489014207864214,0.0436,,,
original,full_cghik,10,0,True,1,"[-2.5039740373811044, -0.2392265455222773, -1.1400497273794603, -0.6365046560751221, 1.8462537129465078, 0.45438314101444993, -0.9086900624058354]",0.0005991332104460442,0.005245260494623588,0.0436,,,
original,full_cghik,11,0,True,1,"[-2.5039740373811044, -0.2392265455222773, -1.1400497273794603, -0.6365046560751221, 1.8462537129465078, 0.45438314101444993, -0.9086900624058354]",0.0009441756005584597,0.00825959116153505,0.0436,,,
original,full_cghik,12,0,True,1,"[-2.502827009056414, -0.23627078904950552, -1.1437533753351872, -0.632128828002347, 1.8440070317308097, 0.44998706586390846, -0.9040705699138663]",3.0358256159853162e-06,1.2791637443309525e-05,0.039224171927224966,,,
original,full_cghik,13,0,True,1,"[-2.502827009056414, -0.23627078904950552, -1.1437533753351872, -0.632128828002347, 1.8440070317308097, 0.44998706586390846, -0.9040705699138663]",0.00040092838928179847,0.0035171704103717323,0.0436,,,
original,full_cghik,14,0,True,1,"[-2.502827009056414, -0.23627078904950552, -1.1437533753351872, -0.632128828002347, 1.8440070317308097, 0.44998706586390846, -0.9040705699138663]",0.0008336719340034828,0.007298096642536207,0.0436,,,
original,full_cghik,15,0,True,1,"[-2.501688171896617, -0.23336759012351385, -1.147423239781993, -0.6278226941647626, 1.8418220315899267, 0.4456723229479996, -0.8995347653234015]",2.971060818847742e-06,1.2317530518513284e-05,0.03929386616241551,,,
original,full_cghik,16,0,True,1,"[-2.501688171896617, -0.23336759012351385, -1.147423239781993, -0.6278226941647626, 1.8418220315899267, 0.4456723229479996, -0.8995347653234015]",0.00048765157306042943,0.004275296084171774,0.0436,,,
original,full_cghik,17,0,True,1,"[-2.5007676077866305, -0.23110798966932675, -1.1503257957350637, -0.6244608980653208, 1.840151632551834, 0.44232115385348975, -0.8960025404018582]",1.8942995374271089e-06,7.459242625445759e-06,0.04023820390055824,,,
original,full_cghik,18,0,True,1,"[-2.5007676077866305, -0.23110798966932675, -1.1503257957350637, -0.6244608980653208, 1.840151632551834, 0.44232115385348975, -0.8960025404018582]",0.0005454088270914414,0.004775689609409539,0.0436,,,
original,full_cghik,19,0,True,1,"[-2.4998249174118614, -0.22860710880746818, -1.1534841936645612, -0.620750611981284, 1.8382731475503447, 0.4385985335066089, -0.8921042756893589]",2.2931789330883003e-06,9.06460082965866e-06,0.039889713915963215,,,
original,full_cghik,20,0,True,1,"[-2.4998249174118614, -0.22860710880746818, -1.1534841936645612, -0.620750611981284, 1.8382731475503447, 0.4385985335066089, -0.8921042756893589]",0.0006009139968407215,0.005263652817000767,0.0436,,,
