robot,scale,method,witness_feasible,family,calls,units,verified_success,internal_success,accepted_within_20ms,returned_within_5ms,returned_within_20ms,total_latency_ns,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_mean_ms,latency_max_ms,internal_failure__task_reject,internal_failure__task_accept,internal_success__task_reject,internal_success__task_accept,accepted_position,accepted_orientation,all_returned_position,all_returned_orientation,joint_rejections,velocity_rejections,native_failure_task_accept,missed_calls,misses_per_sweep,any_repeat_missed_uids,all_repeats_missed_uids,false_acceptances
panda,0.5,trac_strict_5ms,True,hard_feasible,300,100,1.0,1.0,1.0,1.0,1.0,76221913,0.216331,0.3855078500000001,0.45436319999999975,0.25407304333333336,0.513795,0,0,0,300,"{'p50': 7.953566391673006e-07, 'p95': 7.994732837894415e-06, 'p99': 1.093147016809379e-05, 'mean': 2.2165739489695097e-06, 'max': 1.4076374855948437e-05}","{'p50': 8.546583038723624e-07, 'p95': 9.529064625160834e-06, 'p99': 1.1422533602929597e-05, 'mean': 2.3141005771265153e-06, 'max': 1.2673819373614663e-05}","{'p50': 7.953566391673006e-07, 'p95': 7.994732837894415e-06, 'p99': 1.093147016809379e-05, 'mean': 2.2165739489695097e-06, 'max': 1.4076374855948437e-05}","{'p50': 8.546583038723624e-07, 'p95': 9.529064625160834e-06, 'p99': 1.1422533602929597e-05, 'mean': 2.3141005771265153e-06, 'max': 1.2673819373614663e-05}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_strict_5ms,True,local,600,200,1.0,1.0,1.0,1.0,1.0,127130749,0.20306249999999998,0.2578936499999999,0.3597327899999997,0.21188458166666668,0.467057,0,0,0,600,"{'p50': 1.4074003142685286e-08, 'p95': 4.1585079110815545e-06, 'p99': 8.506531923475022e-06, 'mean': 5.283565376256121e-07, 'max': 1.0577627164283198e-05}","{'p50': 3.448054562524007e-08, 'p95': 5.669325076118959e-06, 'p99': 9.128810359025076e-06, 'mean': 7.272057799731498e-07, 'max': 1.1642585222737674e-05}","{'p50': 1.4074003142685286e-08, 'p95': 4.1585079110815545e-06, 'p99': 8.506531923475022e-06, 'mean': 5.283565376256121e-07, 'max': 1.0577627164283198e-05}","{'p50': 3.448054562524007e-08, 'p95': 5.669325076118959e-06, 'p99': 9.128810359025076e-06, 'mean': 7.272057799731498e-07, 'max': 1.1642585222737674e-05}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_strict_5ms,True,near_limit,300,100,1.0,1.0,1.0,1.0,1.0,63366008,0.20231100000000002,0.27706185,0.34353990999999984,0.21122002666666667,0.462497,0,0,0,300,"{'p50': 1.821079321885494e-08, 'p95': 5.25221730489917e-06, 'p99': 7.627786770631113e-06, 'mean': 6.043894877632267e-07, 'max': 1.0192707423156883e-05}","{'p50': 3.3591405092221466e-08, 'p95': 4.704560627996745e-06, 'p99': 1.2427773036296706e-05, 'mean': 8.746401781598506e-07, 'max': 1.254021999493987e-05}","{'p50': 1.821079321885494e-08, 'p95': 5.25221730489917e-06, 'p99': 7.627786770631113e-06, 'mean': 6.043894877632267e-07, 'max': 1.0192707423156883e-05}","{'p50': 3.3591405092221466e-08, 'p95': 4.704560627996745e-06, 'p99': 1.2427773036296706e-05, 'mean': 8.746401781598506e-07, 'max': 1.254021999493987e-05}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_strict_5ms,True,near_singular,300,100,1.0,1.0,1.0,1.0,1.0,66564661,0.21208549999999998,0.27812035,0.3531922299999991,0.22188220333333333,0.732814,0,0,0,300,"{'p50': 9.623248467045116e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.533316228204163e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.664847445485466e-06, 'p95': 1.016559997348547e-05, 'p99': 1.2920688132825676e-05, 'mean': 3.3751681444929558e-06, 'max': 1.5342909732308917e-05}","{'p50': 9.623248467045116e-07, 'p95': 8.612386536922041e-06, 'p99': 1.1552821108552803e-05, 'mean': 2.533316228204163e-06, 'max': 1.1700802146458053e-05}","{'p50': 1.664847445485466e-06, 'p95': 1.016559997348547e-05, 'p99': 1.2920688132825676e-05, 'mean': 3.3751681444929558e-06, 'max': 1.5342909732308917e-05}",0,0,0,0,0.0,0,0,0
panda,0.5,dls_task,True,hard_feasible,100,100,0.98,0.98,0.98,0.92,1.0,168076153,0.924445,7.145704749999998,8.39961227,1.6807615299999998,8.524973,2,0,0,98,"{'p50': 9.550997372120062e-05, 'p95': 0.0004897621768065523, 'p99': 0.0004981610624360956, 'mean': 0.0001877121501931102, 'max': 0.0004993316706941428}","{'p50': 0.0002127311032649081, 'p95': 0.002616630755453858, 'p99': 0.004037019404754102, 'mean': 0.0006880752723983866, 'max': 0.004267247511203729}","{'p50': 0.00010235661807031846, 'p95': 0.0004912428562479385, 'p99': 0.0005703403646330447, 'mean': 0.00019616852700487662, 'max': 0.0006515418337899896}","{'p50': 0.00027036682947031944, 'p95': 0.0026088568487936527, 'p99': 0.0040322724334871, 'mean': 0.0006962867960938895, 'max': 0.004267247511203729}",0,0,0,2,2.0,2,2,0
panda,0.5,dls_task,True,local,200,200,1.0,1.0,1.0,1.0,1.0,118957733,0.5842545,0.62128995,0.802212459999999,0.5947886649999999,1.558024,0,0,0,200,"{'p50': 5.882615112383013e-05, 'p95': 0.0003335638799211078, 'p99': 0.00045321252773164515, 'mean': 9.922326347770601e-05, 'max': 0.000480263970448734}","{'p50': 0.00011256184665796694, 'p95': 0.0006682159100677741, 'p99': 0.001357090423611891, 'mean': 0.00020208748089236151, 'max': 0.0016775380685800083}","{'p50': 5.882615112383013e-05, 'p95': 0.0003335638799211078, 'p99': 0.00045321252773164515, 'mean': 9.922326347770601e-05, 'max': 0.000480263970448734}","{'p50': 0.00011256184665796694, 'p95': 0.0006682159100677741, 'p99': 0.001357090423611891, 'mean': 0.00020208748089236151, 'max': 0.0016775380685800083}",0,0,0,0,0.0,0,0,0
panda,0.5,dls_task,True,near_limit,100,100,1.0,1.0,1.0,1.0,1.0,60627976,0.5856565,0.6541204999999997,0.9468514900000016,0.6062797600000001,1.264591,0,0,0,100,"{'p50': 6.331748587025599e-05, 'p95': 0.00032004692429349113, 'p99': 0.00047942580082608097, 'mean': 0.00010187657638120815, 'max': 0.0004886124944816959}","{'p50': 0.00010668042537190399, 'p95': 0.00082094014742053, 'p99': 0.0035152163797678234, 'mean': 0.0002505773091880028, 'max': 0.0035797038372027694}","{'p50': 6.331748587025599e-05, 'p95': 0.00032004692429349113, 'p99': 0.00047942580082608097, 'mean': 0.00010187657638120815, 'max': 0.0004886124944816959}","{'p50': 0.00010668042537190399, 'p95': 0.00082094014742053, 'p99': 0.0035152163797678234, 'mean': 0.0002505773091880028, 'max': 0.0035797038372027694}",0,0,0,0,0.0,0,0,0
panda,0.5,dls_task,True,near_singular,100,100,1.0,1.0,1.0,1.0,1.0,61973161,0.586497,0.91616295,0.9330615100000001,0.6197316100000001,0.96796,0,0,0,100,"{'p50': 0.00019361604907171368, 'p95': 0.0003931185743262422, 'p99': 0.00047883490131905236, 'mean': 0.00019678645160655983, 'max': 0.0004946711979028316}","{'p50': 0.000733236165078237, 'p95': 0.0017114779664718148, 'p99': 0.002309371150988384, 'mean': 0.0008615692417840557, 'max': 0.0026684480498735696}","{'p50': 0.00019361604907171368, 'p95': 0.0003931185743262422, 'p99': 0.00047883490131905236, 'mean': 0.00019678645160655983, 'max': 0.0004946711979028316}","{'p50': 0.000733236165078237, 'p95': 0.0017114779664718148, 'p99': 0.002309371150988384, 'mean': 0.0008615692417840557, 'max': 0.0026684480498735696}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_task_5ms,True,hard_feasible,300,100,1.0,1.0,1.0,1.0,1.0,75125352,0.209071,0.4856662,0.6408304499999988,0.25041783999999995,0.892869,0,0,0,300,"{'p50': 1.769749799747397e-05, 'p95': 0.00036352998248017704, 'p99': 0.00038132190747205085, 'mean': 0.0001058914487845043, 'max': 0.00046317746061842383}","{'p50': 4.620188393072046e-05, 'p95': 0.002483732665877139, 'p99': 0.0032353456558582793, 'mean': 0.00047478091641845984, 'max': 0.003773736659169134}","{'p50': 1.769749799747397e-05, 'p95': 0.00036352998248017704, 'p99': 0.00038132190747205085, 'mean': 0.0001058914487845043, 'max': 0.00046317746061842383}","{'p50': 4.620188393072046e-05, 'p95': 0.002483732665877139, 'p99': 0.0032353456558582793, 'mean': 0.00047478091641845984, 'max': 0.003773736659169134}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_task_5ms,True,local,600,200,1.0,1.0,1.0,1.0,1.0,119657821,0.1920715,0.23700699999999997,0.30325954000000005,0.19942970166666665,0.433991,0,0,0,600,"{'p50': 4.688062426591142e-05, 'p95': 0.00024834217083305324, 'p99': 0.00033341381601404774, 'mean': 7.798712624625981e-05, 'max': 0.0003655858420962185}","{'p50': 7.416478628958175e-05, 'p95': 0.0005091589509107754, 'p99': 0.0007433759251081396, 'mean': 0.00013959337845668846, 'max': 0.0028652888630688544}","{'p50': 4.688062426591142e-05, 'p95': 0.00024834217083305324, 'p99': 0.00033341381601404774, 'mean': 7.798712624625981e-05, 'max': 0.0003655858420962185}","{'p50': 7.416478628958175e-05, 'p95': 0.0005091589509107754, 'p99': 0.0007433759251081396, 'mean': 0.00013959337845668846, 'max': 0.0028652888630688544}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_task_5ms,True,near_limit,300,100,1.0,1.0,1.0,1.0,1.0,59538397,0.19183250000000002,0.23294510000000002,0.2959252899999999,0.19846132333333336,0.342299,0,0,0,300,"{'p50': 5.3440565281433184e-05, 'p95': 0.000231051903610985, 'p99': 0.0002888639979267528, 'mean': 7.616055023125535e-05, 'max': 0.00030675205042061206}","{'p50': 7.456281383970214e-05, 'p95': 0.0004691380092441855, 'p99': 0.000904662399748396, 'mean': 0.00015218989154061548, 'max': 0.002641445797438019}","{'p50': 5.3440565281433184e-05, 'p95': 0.000231051903610985, 'p99': 0.0002888639979267528, 'mean': 7.616055023125535e-05, 'max': 0.00030675205042061206}","{'p50': 7.456281383970214e-05, 'p95': 0.0004691380092441855, 'p99': 0.000904662399748396, 'mean': 0.00015218989154061548, 'max': 0.002641445797438019}",0,0,0,0,0.0,0,0,0
panda,0.5,trac_task_5ms,True,near_singular,300,100,1.0,1.0,1.0,1.0,1.0,62106690,0.1955425,0.2706103,0.3975029099999997,0.2070223,0.460553,0,0,0,300,"{'p50': 5.68363819991962e-05, 'p95': 0.0002853680112263935, 'p99': 0.0003265481413693416, 'mean': 8.568345396960316e-05, 'max': 0.00032930195015385923}","{'p50': 8.201305052606389e-05, 'p95': 0.0007575278396619509, 'p99': 0.0021561864485464557, 'mean': 0.0001959251163856302, 'max': 0.002176870443689251}","{'p50': 5.68363819991962e-05, 'p95': 0.0002853680112263935, 'p99': 0.0003265481413693416, 'mean': 8.568345396960316e-05, 'max': 0.00032930195015385923}","{'p50': 8.201305052606389e-05, 'p95': 0.0007575278396619509, 'p99': 0.0021561864485464557, 'mean': 0.0001959251163856302, 'max': 0.002176870443689251}",0,0,0,0,0.0,0,0,0
panda,1.0,dls_task,True,hard_feasible,100,100,1.0,1.0,1.0,0.96,1.0,119000227,0.9249885,4.183672049999999,6.758743470000001,1.1900022700000001,6.92115,0,0,0,100,"{'p50': 0.0003284569859040601, 'p95': 0.0009669026252627081, 'p99': 0.0009894652550323764, 'mean': 0.00040409873763038085, 'max': 0.0009957991298363664}","{'p50': 0.0011558776370701176, 'p95': 0.003314156189535196, 'p99': 0.0055098823976722, 'mean': 0.0012624257168141213, 'max': 0.00635275379027364}","{'p50': 0.0003284569859040601, 'p95': 0.0009669026252627081, 'p99': 0.0009894652550323764, 'mean': 0.00040409873763038085, 'max': 0.0009957991298363664}","{'p50': 0.0011558776370701176, 'p95': 0.003314156189535196, 'p99': 0.0055098823976722, 'mean': 0.0012624257168141213, 'max': 0.00635275379027364}",0,0,0,0,0.0,0,0,0
